Poskytovateľ,Dataset,Počet stiahnutí,Rok
"Agentúra pre rozvoj vidieka, Nitra",Uzatvorené zmluvy - Agentúra pre rozvoj vidieka 2018,97,2022
"Agentúra pre rozvoj vidieka, Nitra",Správa aktivít NSRV SR,75,2022
"Agentúra pre rozvoj vidieka, Nitra",Súhrn aktivít NSRV SR,29,2022
"Agentúra pre rozvoj vidieka, Nitra",Účtovný_výkaz 2017 - aktíva,71,2022
"Agentúra pre rozvoj vidieka, Nitra",Účtovný_výkaz 2017 - náklady,86,2022
"Agentúra pre rozvoj vidieka, Nitra",Účtovný_výkaz 2017 - pasíva,59,2022
"Agentúra pre rozvoj vidieka, Nitra",Účtovný_výkaz 2017 - výnosy,61,2022
"Agentúra pre rozvoj vidieka, Nitra",Zoznam členov NSRV SR,122,2022
"Agentúra pre rozvoj vidieka, Nitra",Zoznam majetku,72,2022
"Agentúra pre rozvoj vidieka, Nitra",Zoznam faktúr 2018,65,2022
"Agentúra pre rozvoj vidieka, Nitra",Zoznam objednávok 2018,90,2022
"Agentúra pre rozvoj vidieka, Nitra",Zoznam objednávok a faktúr ARVI,73,2022
"Agroinštitút Nitra, štátny podnik",Kalendár podujatí II. polrok 2018,9,2022
"Agroinštitút Nitra, štátny podnik",Plán potrieb,6,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",,122,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",,92,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",Dodávateľské faktúry 2022,72,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",,5,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",,74,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",Krátkodobý majetok 2019,80,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",nájomné za pozemky rok 2022,106,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",,70,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",Odberateľské faktúry za rok 2022,79,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",Stav zásob k 2022,98,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",,91,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",Telefónny zoznam mobilných čísiel zamestnancov,93,2022
"agrokomplex NÁRODNÉ VÝSTAVISKO, štátny podnik",Zoznam otvoreného softvéru štátneho podniku Agrokomplex,27,2022
"Hydromeliorácie, štátny podnik",Čerpanie dotácie č.1,32,2022
"Hydromeliorácie, štátny podnik",Čerpanie dotácie č.2,32,2022
"Hydromeliorácie, štátny podnik",Čerpanie dotácie č.3,33,2022
"Hydromeliorácie, štátny podnik",OČS,24,2022
"Hydromeliorácie, štátny podnik",OČS k 31.12.2019,64,2022
"Hydromeliorácie, štátny podnik",Odbery vody po rokoch,26,2022
"Hydromeliorácie, štátny podnik",Odbery vody po rokoch k 31.12.2019 hmsp,65,2022
"Hydromeliorácie, štátny podnik",Vymera NAJ,26,2022
"Hydromeliorácie, štátny podnik",Dokumentácia závlahových stavieb,29,2022
"Hydromeliorácie, štátny podnik",Majetok odvodnenia ,27,2022
"Hydromeliorácie, štátny podnik",Odvodňovacie kanále prehľad,19,2022
"Hydromeliorácie, štátny podnik",,264,2022
"Hydromeliorácie, štátny podnik",Faktúry na zverejnenie s údajmi za rok 2019,48,2022
"Hydromeliorácie, štátny podnik",Dokumentácia závlahových stavieb,96,2022
"Hydromeliorácie, štátny podnik",Majetok závlah,81,2022
"Hydromeliorácie, štátny podnik",Stat. vykaz MPRV SR 2017,18,2022
"Hydromeliorácie, štátny podnik",Dotácie,15,2022
"Hydromeliorácie, štátny podnik",Dataset Hydranty.dbf,60,2022
"Hydromeliorácie, štátny podnik",Dataset Hydranty.qix,48,2022
"Hydromeliorácie, štátny podnik",Dataset Hydranty.shp,74,2022
"Hydromeliorácie, štátny podnik",Dataset Hydranty.shx,71,2022
"Hydromeliorácie, štátny podnik",hydranty,37,2022
"Hydromeliorácie, štátny podnik",KB - rok 2018,18,2022
"Hydromeliorácie, štátny podnik",Konsolidácia,17,2022
"Hydromeliorácie, štátny podnik",ONSOLIDAĆNÝ BALÍK r. 2020,1,2022
"Hydromeliorácie, štátny podnik",,9,2022
"Hydromeliorácie, štátny podnik",náklady na PH a km 2017 komplet,17,2022
"Hydromeliorácie, štátny podnik",náklady na PH a km 2018,11,2022
"Hydromeliorácie, štátny podnik",náklady na PH a km 2019,9,2022
"Hydromeliorácie, štátny podnik",náklady na PH a km 2020,30,2022
"Hydromeliorácie, štátny podnik",Odbery vody po rokoch.xls,47,2022
"Hydromeliorácie, štátny podnik",,196,2022
"Hydromeliorácie, štátny podnik",nadspotreba 2019,16,2022
"Hydromeliorácie, štátny podnik",nákup PHM v hotovosti 2021,1,2022
"Hydromeliorácie, štátny podnik",Plán na rok 2019,43,2022
"Hydromeliorácie, štátny podnik",Plán na rok 2020,57,2022
"Hydromeliorácie, štátny podnik",,30,2022
"Hydromeliorácie, štátny podnik",Plán NaV na rok 2021,3,2022
"Hydromeliorácie, štátny podnik",Plnenie plánu nákladov a výnosov HMSP k 31122019,42,2022
"Hydromeliorácie, štátny podnik",Plochy závlah,1,2022
"Hydromeliorácie, štátny podnik",Plochy závlah.dbf,57,2022
"Hydromeliorácie, štátny podnik",Plochy závlah.prj,67,2022
"Hydromeliorácie, štátny podnik",Plochy závlah.qpj,68,2022
"Hydromeliorácie, štátny podnik",Plochy závlah.shp,102,2022
"Hydromeliorácie, štátny podnik",Plochy závlah.shx,65,2022
"Hydromeliorácie, štátny podnik",,250,2022
"Hydromeliorácie, štátny podnik",Došlá pošta,309,2022
"Hydromeliorácie, štátny podnik",Dodavatelske faktury,3,2022
"Hydromeliorácie, štátny podnik",dodávateľské faktúry,7,2022
"Hydromeliorácie, štátny podnik",odberatelska faktura,8,2022
"Hydromeliorácie, štátny podnik",odberateľské faktúry ,6,2022
"Hydromeliorácie, štátny podnik",DHM nákup,51,2022
"Hydromeliorácie, štátny podnik",DHM-nákup 2019,10,2022
"Hydromeliorácie, štátny podnik",DHM-nákup-2020,9,2022
"Hydromeliorácie, štátny podnik",Objednávky od 01.01.18-30.11.2018,33,2022
"Hydromeliorácie, štátny podnik",Prehľad objednávok HMSP 2019,79,2022
"Hydromeliorácie, štátny podnik",Prehľad odvodňovacích ČS k 31.12.2021.xls,21,2022
"Hydromeliorácie, štátny podnik",,28,2022
"Hydromeliorácie, štátny podnik",Škodové udalosti,34,2022
"Hydromeliorácie, štátny podnik",nebytové priestory 2017,6,2022
"Hydromeliorácie, štátny podnik",Príjazdná cesta k ČS QGIS.dbf,30,2022
"Hydromeliorácie, štátny podnik",Príjazdná cesta k ČS QGIS.prj,44,2022
"Hydromeliorácie, štátny podnik",Príjazdná cesta k ČS QGIS.qpj,45,2022
"Hydromeliorácie, štátny podnik",Príjazdná cesta k ČS QGIS.shp,44,2022
"Hydromeliorácie, štátny podnik",Príjazdná cesta k ČS QGIS.shx,42,2022
"Hydromeliorácie, štátny podnik",Protokoly rok 2018,37,2022
"Hydromeliorácie, štátny podnik",registraturny-dennik-ofahc,181,2022
"Hydromeliorácie, štátny podnik",Dataset Rúrová sieť19,34,2022
"Hydromeliorácie, štátny podnik",Dataset Rúrová sieť19.shp,42,2022
"Hydromeliorácie, štátny podnik",Dataset Rúrová sieť19.shx,37,2022
"Hydromeliorácie, štátny podnik",Rúrová sieť,198,2022
"Hydromeliorácie, štátny podnik",Tvorba a čerpanie SF 2017,20,2022
"Hydromeliorácie, štátny podnik",Tvorba a čerpanie SF 2019,43,2022
"Hydromeliorácie, štátny podnik",Tvorba a čerpanie SF 2020,40,2022
"Hydromeliorácie, štátny podnik",,15,2022
"Hydromeliorácie, štátny podnik",Telefónny zoznam 2018,33,2022
"Hydromeliorácie, štátny podnik",Dataset Toky19,39,2022
"Hydromeliorácie, štátny podnik",Dataset Toky19.qix,52,2022
"Hydromeliorácie, štátny podnik",Dataset Toky19.shp,52,2022
"Hydromeliorácie, štátny podnik",Dataset Toky19.shx,52,2022
"Hydromeliorácie, štátny podnik",toky,286,2022
"Hydromeliorácie, štátny podnik",Plnenie plánu nákladov a výnosov HMSP,3,2022
"Hydromeliorácie, štátny podnik",,18,2022
"Hydromeliorácie, štátny podnik",,15,2022
"Hydromeliorácie, štátny podnik",oznamenie-2839,1,2022
"Hydromeliorácie, štátny podnik",oznamenie-9267,2,2022
"Hydromeliorácie, štátny podnik",Zákazky s nízkou hodnotou s cenami vyššími ako 5000 EUR,28,2022
"Hydromeliorácie, štátny podnik",,53,2022
"Hydromeliorácie, štátny podnik",Odvodňovacie čerpacie stanice,1,2022
"Hydromeliorácie, štátny podnik",Odvodňovacie čerpacie stanice.prj,1,2022
"Hydromeliorácie, štátny podnik",Odvodňovacie čerpacie stanice.qpj,1,2022
"Hydromeliorácie, štátny podnik",Odvodňovacie čerpacie stanice.shp,1,2022
"Hydromeliorácie, štátny podnik",Odvodňovacie čerpacie stanice.shx,1,2022
"Hydromeliorácie, štátny podnik",Závlahové čerpacie stanice.prj,1,2022
"Hydromeliorácie, štátny podnik",Závlahové čerpacie stanice.qpj,1,2022
"Hydromeliorácie, štátny podnik",Závlahové čerpacie stanice.shp,1,2022
"Hydromeliorácie, štátny podnik",Závlahové čerpacie stanice.shx,1,2022
"Hydromeliorácie, štátny podnik",Závlahové privádzače.dbf,36,2022
"Hydromeliorácie, štátny podnik",Závlahové privádzače.prj,48,2022
"Hydromeliorácie, štátny podnik",Závlahové privádzače.qpj,46,2022
"Hydromeliorácie, štátny podnik",zavlahoveprivadzae.cpg,53,2022
"Hydromeliorácie, štátny podnik",zavlahoveprivadzae.shp,51,2022
"Hydromeliorácie, štátny podnik",zavlahove-privadzae.shx,48,2022
"Hydromeliorácie, štátny podnik",Zoznam ČS s LV 2018,27,2022
"Hydromeliorácie, štátny podnik",Zoznam ČS s LV 2019,29,2022
"Hydromeliorácie, štátny podnik",Zoznam LV kanále 2018,20,2022
"Hydromeliorácie, štátny podnik",Zoznam LV kanále 2019,73,2022
"Hydromeliorácie, štátny podnik",Zoznam využívaného otvoreného softvéru,6,2022
"Hydromeliorácie, štátny podnik",Zoznam využívaného otvoreného SW ,12,2022
"Hydromeliorácie, štátny podnik","Zoznam využívaného otvoreného SW Hydromeliorácie, š.p.",19,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Absolventi Odchytu túlavých zvierat 2019,4,2022
Inštitút vzdelávania veterinárnych lekárov Košice,"Ochrana zvierat počas usmrcovania, 2019",11,2022
Inštitút vzdelávania veterinárnych lekárov Košice,"Absolventi školenia Ochrana zvierat používaných na vedecké alebo vzdelávacie účely, 2019",2,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Akreditované vzdelávacie programy 2017,19,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Akreditované vzdelávacie programy 2018,22,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Akreditované vzdelávacie programy 2019,23,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Akreditované vzdelávacie programy IVVL v roku 2017,6,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Dodávatelia IVVL 2018,35,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Evidencia majetku,43,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Odberatelia IVVL 2018,23,2022
Inštitút vzdelávania veterinárnych lekárov Košice,"Odchyt túlavých zvierat, 2019",25,2022
Inštitút vzdelávania veterinárnych lekárov Košice,"Ochrana zvierat používaných na vedecké účely alebo vzdelávacie účely, 2019",14,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Ochrana zvierat pri preprave 2016,59,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Ochrana zvierat pri preprave 2017,67,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Ochrana zvierat pri preprave 2018,69,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Ochrana zvierat pri preprave 2019,61,2022
Inštitút vzdelávania veterinárnych lekárov Košice,"Počet realizovaných aktivít, 2019",3,2022
Inštitút vzdelávania veterinárnych lekárov Košice,"Počet realizovaných vzdelávacích aktivít, 2018",17,2022
Inštitút vzdelávania veterinárnych lekárov Košice,"Počet realizovaných vzdelávacích aktivít, 2019",41,2022
Inštitút vzdelávania veterinárnych lekárov Košice,Zoznam absolventov školenia Ochrana zvierat pri preprave od r. 2016,7,2022
"Lesopoľnohospodársky majetok Ulič, štátny podnik","Lesopoľnohospodársky majetok Ulič, štátny podnik",7,2022
"Lesopoľnohospodársky majetok Ulič, štátny podnik","Lesopoľnohospodársky majetok Ulič, štátny podnik",28,2022
"Lesopoľnohospodársky majetok Ulič, štátny podnik",Zoznam otvoreného softvéru štátneho podniku Lesopoľnohospodársky majetok Ulič,48,2022
"LESY Slovenskej republiky, štátny podnik",bankové účty,76,2022
"LESY Slovenskej republiky, štátny podnik",Bankové účty LSR,35,2022
"LESY Slovenskej republiky, štátny podnik",Cenník I.Q 2018 v2,33,2022
"LESY Slovenskej republiky, štátny podnik",Cenník I.Q 2019,18,2022
"LESY Slovenskej republiky, štátny podnik",cenník I.Q.2017 ,25,2022
"LESY Slovenskej republiky, štátny podnik",Cenník II.Q 2018,27,2022
"LESY Slovenskej republiky, štátny podnik",Cenník II.Q 2018 v2,31,2022
"LESY Slovenskej republiky, štátny podnik",Cenník II.Q 2019,25,2022
"LESY Slovenskej republiky, štátny podnik",cenník II.Q.2017 ,42,2022
"LESY Slovenskej republiky, štátny podnik",Cenník III.Q 2018,26,2022
"LESY Slovenskej republiky, štátny podnik",Cenník III.Q 2019,20,2022
"LESY Slovenskej republiky, štátny podnik",cenník III.Q.2017,33,2022
"LESY Slovenskej republiky, štátny podnik",Cenník IV.Q 2018,24,2022
"LESY Slovenskej republiky, štátny podnik",Cenník IV.Q 2019,20,2022
"LESY Slovenskej republiky, štátny podnik",cenník IV.Q.2017,31,2022
"LESY Slovenskej republiky, štátny podnik",delimitácie  lesných pozemkov,37,2022
"LESY Slovenskej republiky, štátny podnik",Delimitácie ostatného majetku štátu,77,2022
"LESY Slovenskej republiky, štátny podnik",delimitácie poľnohospodárskych pozemkov,87,2022
"LESY Slovenskej republiky, štátny podnik",Držba certifikátov a osvedčení,90,2022
"LESY Slovenskej republiky, štátny podnik",Dodávky dreva 2018 PLÁN,18,2022
"LESY Slovenskej republiky, štátny podnik",Dodávky dreva 2018 skutočnosť,3,2022
"LESY Slovenskej republiky, štátny podnik",Dodávky dreva 2019 plán,16,2022
"LESY Slovenskej republiky, štátny podnik",Dodávky dreva 2019 skutočnosť,5,2022
"LESY Slovenskej republiky, štátny podnik",Dodávky dreva r. 2017 plán,29,2022
"LESY Slovenskej republiky, štátny podnik",Predaj štiepky 2018 plán,1,2022
"LESY Slovenskej republiky, štátny podnik",Predaj štiepky 2019 plán,11,2022
"LESY Slovenskej republiky, štátny podnik",Predaj štiepky r. 2017 plán,19,2022
"LESY Slovenskej republiky, štátny podnik",Objednávky  na nákup dreva,31,2022
"LESY Slovenskej republiky, štátny podnik",Objednávky dreva 2018,81,2022
"LESY Slovenskej republiky, štátny podnik",Objednávky dreva 2019,86,2022
"LESY Slovenskej republiky, štátny podnik",Open source software,75,2022
"LESY Slovenskej republiky, štátny podnik",Plán VO 2021,100,2022
"LESY Slovenskej republiky, štátny podnik",plány výdavkov a finančných tokov,119,2022
"LESY Slovenskej republiky, štátny podnik",Plnenie požiadaviek OZ na nákup materiálu,40,2022
"LESY Slovenskej republiky, štátny podnik",Plnenie Rámcových zmlúv ,27,2022
"LESY Slovenskej republiky, štátny podnik",Podklady k cenotvorbe,41,2022
"LESY Slovenskej republiky, štátny podnik",Povodňové škody,94,2022
"LESY Slovenskej republiky, štátny podnik",Požiadavky na nákup materiálu z OZ,57,2022
"LESY Slovenskej republiky, štátny podnik",Zoznam pralesov,60,2022
"LESY Slovenskej republiky, štátny podnik",Zoznam pralesových zvyškov,46,2022
"LESY Slovenskej republiky, štátny podnik",dodavky dreva,33,2022
"LESY Slovenskej republiky, štátny podnik",Dodávky dreva 2018 skutočnosť,9,2022
"LESY Slovenskej republiky, štátny podnik",Dodávky dreva 2019 skutočnosť,8,2022
"LESY Slovenskej republiky, štátny podnik",Predaj štiepky 2018 skutočnosť,9,2022
"LESY Slovenskej republiky, štátny podnik",Predaj štiepky 2019 skutočnosť,7,2022
"LESY Slovenskej republiky, štátny podnik",Predaj štiepky r. 2017 skutočnosť,14,2022
"LESY Slovenskej republiky, štátny podnik",Prehľad lesných priestupkov,77,2022
"LESY Slovenskej republiky, štátny podnik",Prehľad o lesných priestupkoch,75,2022
"LESY Slovenskej republiky, štátny podnik",Programy starostlivosti o CHU,94,2022
"LESY Slovenskej republiky, štátny podnik",Projekty EU,132,2022
"LESY Slovenskej republiky, štátny podnik",Spisy odovzdané do registartúreho strediska - GR,15,2022
"LESY Slovenskej republiky, štátny podnik",Štatistické hlásenie LES 4-01,82,2022
"LESY Slovenskej republiky, štátny podnik",Statistika BOZP,52,2022
"LESY Slovenskej republiky, štátny podnik",Štatistika BOZP,51,2022
"LESY Slovenskej republiky, štátny podnik",Modul 52,100,2022
"LESY Slovenskej republiky, štátny podnik",Štatistika požiarov,185,2022
"LESY Slovenskej republiky, štátny podnik",účastníci elektronických aukcií dreva,172,2022
"LESY Slovenskej republiky, štátny podnik",Určené meradlá,79,2022
"LESY Slovenskej republiky, štátny podnik",Vyhodnotenie nadspotreby OMV 2020,19,2022
"LESY Slovenskej republiky, štátny podnik",Vyhodnotenie nadspotreby OMV 2021,2,2022
"LESY Slovenskej republiky, štátny podnik",Vyhodnotenie nadspotreby OMV na GR 2019,64,2022
"LESY Slovenskej republiky, štátny podnik",Výkaz o zdrojoch energie,110,2022
"LESY Slovenskej republiky, štátny podnik",Vyradenia stavieb z DHM 2018,20,2022
"LESY Slovenskej republiky, štátny podnik",Vyradenie stavieb z DHM 2019,32,2022
"LESY Slovenskej republiky, štátny podnik",Vyradenie spisov z registratúry,37,2022
"LESY Slovenskej republiky, štátny podnik",Zaradenie stavieb do DHM 2019,58,2022
"LESY Slovenskej republiky, štátny podnik",zoznam vyraďovacích protokolov Dlhodobého hmotného majetku- pozemky,83,2022
"LESY Slovenskej republiky, štátny podnik",zoznam zaraďovacích protokolov Dlhodobého hmotného majetku- pozemky,110,2022
Mesto Vranov nad Topľou (OVM),,60,2022
Mesto Vranov nad Topľou (OVM),Adresy mesta Vranov nad Topľou,52,2022
Mesto Vranov nad Topľou (OVM),,86,2022
Mesto Vranov nad Topľou (OVM),,37,2022
Mesto Vranov nad Topľou (OVM),,43,2022
Mesto Vranov nad Topľou (OVM),Zoznam ulíc v meste Vranov nad Topľou,32,2022
Ministerstvo dopravy a výstavby SR,Časový harmonogram vytvárania a sprístupňovania datasetov MDV SR,33,2022
Ministerstvo dopravy a výstavby SR,Dáta z automatického sčítania dopravy,136,2022
Ministerstvo dopravy a výstavby SR,Dátový inventár MDVSR,9,2022
Ministerstvo dopravy a výstavby SR,Dátový katalóg MDVSR,26,2022
Ministerstvo dopravy a výstavby SR,Prieskum leteckej osobnej dopravy,50,2022
Ministerstvo dopravy a výstavby SR,Prieskum mobility,79,2022
Ministerstvo dopravy a výstavby SR,Prieskum nákladnej dopravy,47,2022
Ministerstvo dopravy a výstavby SR,Prieskum železničnej osobnej dopravy,63,2022
Ministerstvo dopravy a výstavby SR,Dotácie na podporu cestovného ruchu za rok 2018,70,2022
Ministerstvo dopravy a výstavby SR,Dotácie na podporu cestovného ruchu za rok 2019,68,2022
Ministerstvo dopravy a výstavby SR,Dotácie na podporu cestovného ruchu za rok 2020,51,2022
Ministerstvo dopravy a výstavby SR,Dotácie na podporu cestovného ruchu za rok 2021,53,2022
Ministerstvo dopravy a výstavby SR,Dotácie na podporu rozvoja cyklodopravy za rok 2019,73,2022
Ministerstvo dopravy a výstavby SR,Dotácie pre obce na rok 2018,117,2022
Ministerstvo dopravy a výstavby SR,Dotácie pre obce na rok 2019,104,2022
Ministerstvo dopravy a výstavby SR,Dotácie pre obce na rok 2020,115,2022
Ministerstvo dopravy a výstavby SR,Dotácie pre obce na rok 2021,17,2022
Ministerstvo dopravy a výstavby SR,Dotácie na zníženie energetickej hospodárnosti budov za rok 2019,91,2022
Ministerstvo dopravy a výstavby SR,Dotácie na zníženie energetickej hospodárnosti budov za rok 2020,70,2022
Ministerstvo dopravy a výstavby SR,Dotácie na zníženie energetickej hospodárnosti budov za rok 2021,16,2022
Ministerstvo dopravy a výstavby SR,Dotácie na rozvoj bývania za rok 2019,66,2022
Ministerstvo dopravy a výstavby SR,Dotácie na rozvoj bývania za rok 2020,78,2022
Ministerstvo dopravy a výstavby SR,Dotácie v oblasti civilného letectva za rok 2016,43,2022
Ministerstvo dopravy a výstavby SR,Dotácie v oblasti civilného letectva za rok 2017,53,2022
Ministerstvo dopravy a výstavby SR,Dotácie v oblasti civilného letectva za rok 2018,66,2022
Ministerstvo dopravy a výstavby SR,Dotácie v oblasti civilného letectva za rok 2019,55,2022
Ministerstvo dopravy a výstavby SR,Dotácie v oblasti civilného letectva za rok 2020,50,2022
Ministerstvo dopravy a výstavby SR,Dotácie v oblasti civilného letectva za rok 2021,17,2022
Ministerstvo dopravy a výstavby SR,Dotácie na úseku bytovej politiky za rok 2017,37,2022
Ministerstvo dopravy a výstavby SR,Dotácie na úseku bytovej politiky za rok 2018,49,2022
Ministerstvo dopravy a výstavby SR,Dotácie na úseku bytovej politiky za rok 2019,42,2022
Ministerstvo dopravy a výstavby SR,Dotácie na úseku SP a úseku dopravy za rok 2017,49,2022
Ministerstvo dopravy a výstavby SR,Dotácie na úseku SP a úseku dopravy za rok 2018,35,2022
Ministerstvo dopravy a výstavby SR,Dotácie na úseku SP a úseku dopravy za rok 2019,58,2022
Ministerstvo dopravy a výstavby SR,Charakteristika železničných tratí 2019,175,2022
Ministerstvo dopravy a výstavby SR,Charakteristika železničných tratí 2020,140,2022
Ministerstvo dopravy a výstavby SR,Charakteristika železničných tratí 2021,97,2022
Ministerstvo dopravy a výstavby SR,Intenzita železničnej dopravy 2018,46,2022
Ministerstvo dopravy a výstavby SR,Intenzita železničnej dopravy za rok 2019,119,2022
Ministerstvo dopravy a výstavby SR,Intenzita železničnej dopravy za rok 2020,116,2022
Ministerstvo dopravy a výstavby SR,Intenzita železničnej dopravy za rok 2021,129,2022
Ministerstvo dopravy a výstavby SR,Kapacita železničných tratí 2020,66,2022
Ministerstvo dopravy a výstavby SR,Počet používateľov webu MDV SR za rok 2019,82,2022
Ministerstvo dopravy a výstavby SR,Počet používateľov webu MDV SR za rok 2020,58,2022
Ministerstvo dopravy a výstavby SR,Počet používateľov webu MDV SR za rok 2021,70,2022
Ministerstvo dopravy a výstavby SR,Priemerná denná intenzita dopravy,9,2022
Ministerstvo dopravy a výstavby SR,Priemerná denná intenzita dopravy ,15,2022
Ministerstvo dopravy a výstavby SR,Priemerná denná intenzita dopravy v roku 2016,125,2022
Ministerstvo dopravy a výstavby SR,Priemerná denná intenzita dopravy v roku 2017,62,2022
Ministerstvo dopravy a výstavby SR,Rozpočet výdavkov MDV SR 2022,2,2022
Ministerstvo dopravy a výstavby SR,Skladba dopravného prúdu v roku 2016,51,2022
Ministerstvo dopravy a výstavby SR,Skladba dopravného prúdu v roku 2017,46,2022
Ministerstvo dopravy a výstavby SR,Skladba dopravného prúdu za rok 2016,18,2022
Ministerstvo dopravy a výstavby SR,Špičková hodinová intenzita dopravy v roku 2016,89,2022
Ministerstvo dopravy a výstavby SR,Špičková hodinová intenzita dopravy v roku 2017,27,2022
Ministerstvo dopravy a výstavby SR,Najvyššia dovolená rýchlosť - 2021,34,2022
Ministerstvo dopravy a výstavby SR,Telefónny zoznam MDV SR k 01.01.2021,68,2022
Ministerstvo dopravy a výstavby SR,Telefónny zoznam MDV SR k 01.01.2022,73,2022
Ministerstvo dopravy a výstavby SR,Telefónny zoznam MDV SR k 01.07.2020,61,2022
Ministerstvo dopravy a výstavby SR,Telefónny zoznam MDV SR k 01.07.2021,50,2022
Ministerstvo dopravy a výstavby SR,Telefónny zoznam MDV SR k 1.07.2022,11,2022
Ministerstvo dopravy a výstavby SR,Telefónny zoznam MDV SR k 1.10.2019,73,2022
Ministerstvo dopravy a výstavby SR,Ukazovatele špičkovej hodinovej intenzity dopravy ,32,2022
Ministerstvo dopravy a výstavby SR,Zoznam členov k 11.9.2018,90,2022
Ministerstvo dopravy a výstavby SR,Zoznam členov k 12.3.2019,111,2022
Ministerstvo dopravy a výstavby SR,Zoznam členov k 4.5.2020,10,2022
Ministerstvo dopravy a výstavby SR,Zoznam datasetov MDV SR na rok 2019,11,2022
Ministerstvo dopravy a výstavby SR,Verzia 5.2 XML formát,40,2022
Ministerstvo dopravy a výstavby SR,Verzia 5.3 XML formát,51,2022
Ministerstvo dopravy a výstavby SR,Verzia 5.4 XML formát,30,2022
Ministerstvo dopravy a výstavby SR,Verzia 5.5 XML formát,17,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v 6.0,26,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v 7.0,34,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v 8.0,32,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v 9.0,44,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v 9.1,18,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v 9.2,28,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v 9.3,34,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v. 5.1 CSV formát,71,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v. 5.10 CSV formát,32,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v. 5.11 CSV formát,54,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v. 5.12 CSV formát,44,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v. 5.2 CSV formát,71,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v. 5.3 CSV formát,69,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v. 5.4 CSV formát,68,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v. 5.5 CSV formát,63,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v. 5.6 CSV formát,42,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v. 5.7 CSV formát,38,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v. 5.8 CSV formát,43,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov OPII v. 5.9 CSV formát,33,2022
Ministerstvo dopravy a výstavby SR,Zoznam národných projektov v. 5.1 XML formát,55,2022
Ministerstvo dopravy a výstavby SR,Zoznam organizácií MDV SR - december 2017,164,2022
Ministerstvo dopravy a výstavby SR,Zoznam organizácií MDV SR - december 2018,129,2022
Ministerstvo dopravy a výstavby SR,Zoznam organizácií MDV SR - december 2019,66,2022
Ministerstvo dopravy a výstavby SR,Zoznam organizácií MDV SR - december 2020,82,2022
Ministerstvo dopravy a výstavby SR,Zoznam organizácií MDV SR - december 2021,98,2022
Ministerstvo dopravy a výstavby SR,Zoznam projektov financovaných z CEF,44,2022
Ministerstvo dopravy a výstavby SR,Zoznam veľkých projektov OPII,97,2022
Ministerstvo dopravy a výstavby SR,Zoznam veľkých projektov OPII v. 9.0,57,2022
Ministerstvo dopravy a výstavby SR,Zoznam veľkých projektov OPII v. 9.1,40,2022
