Názov,Mesiac zápisu,Mesiac vzniku,Autor,Oblasť,Typ,Odkaz,HVD,PM,Spoplatnenie,Popis,Použité datasety
Zdravotná starostlivosť a sociálne služby,05_2023,09_2021,Samosprávne,Zdravie,geovizualizácia,https://geopresovregion.sk/mviewer/?lang=sk&config=apps/health-social-sk.xml,,,zadarmo,,"Poskytovatelia ambulantnej a inej formy sociálnej služby, Poskytovatelia pobytovej sociálnej služby, ..."
Turistika a Cestovný ruch,05_2023,10_2020,Samosprávne,Ekonomika,geovizualizácia,https://geopresovregion.sk/mviewer/?lang=sk&config=apps/tourism-sk.xml,,,zadarmo,,"Dotazník - Cestovný ruch (mestá/obce), Prístrešky, ..."
Doprava v Prešovskom kraji,05_2023,09_2021,Samosprávne,Doprava,geovizualizácia,https://geopresovregion.sk/mviewer/?lang=sk&config=apps/doprava/doprava.xml#,,,zadarmo,,"Zastávky prímestskej autobusovej dopravy (PAD) v PSK, Železničné zastávky na území PSK "
Rómske komunity,05_2023,09_2021,Samosprávne,Sociálne veci,geovizualizácia,https://geopresovregion.sk/web/web_mrk/,,,zadarmo,,Atlas rómskych komunít
Výzva pre región 2019,05_2023,09_2021,Samosprávne,Transparentnosť,geovizualizácia,https://geopresovregion.sk/web/web_grants_2019/index.html,,,zadarmo,,Dotácie z Výzvy pre región
Organizácie PSK (január 2021),05_2023,09_2021,Samosprávne,Samospráva,geovizualizácia,https://geopresovregion.sk/web/web_budovy/index.html#9/49.0757/21.2531,,,zadarmo,,Organizácie v zriaďovateľskej pôsobnosti PSK 
"Nezamestnanosť, ľudia a podnikanie",05_2023,09_2021,Samosprávne,Ekonomika,geovizualizácia,https://geopresovregion.sk/mviewer/?lang=sk&config=apps/business-sk.xml,,,zadarmo,,"Uchádzači o zamestnanie podľa doby evidencie (mestá/obce), Uchádzači o zamestnanie podľa doby evidencie (okresy), ..."
Ľudia a práca,05_2023,09_2021,Samosprávne,Ekonomika,geovizualizácia,https://geopresovregion.sk/mviewer/?lang=sk&config=apps/life-sk.xml,,,zadarmo,,"Priemerná mesačná mzda, Voľné pracovné miesta, ... "
"Sčítanie obyvateľov, domov a bytov",07_2023,03_2023,Samosprávne,Samospráva,vizualizácia,https://opendata.trnava-vuc.sk/pages/novinky,,,zadarmo,,
Plán obnovy a no-regret oblast,07_2023,03_2024,Samosprávne,Transparentnosť,geovizualizácia,https://www.arcgis.com/apps/dashboards/a7758121e71840e38e03825046878d95,,,zadarmo,,
Dotácie poskytnuté Trnavským samosprávnym krajom,07_2023,12_2022,Samosprávne,Transparentnosť,geovizualizácia,https://www.arcgis.com/apps/dashboards/4ff2176c261546e9a0ac1522c3a35214,,,zadarmo,,
