Názov,Mesiac zápisu,Mesiac vzniku,Autor,Oblasť,Typ,Odkaz,HVD,PM,Spoplatnenie,Popis,Použité datasety
Cyklosčítače KE,05_2023,05_2023,Samosprávne,Doprava,vizualizácia,https://opendata.kosice.sk/pages/f37aaddae2514c538eb0286e92267424,,,zadarmo,,Cyklosčítače Košice - pohyb
Hospodárenie mesta KE,05_2023,02_2023,Samosprávne,Transparentnosť,vizualizácia,https://opendata.kosice.sk/pages/4b73fb3c8f3b4ba6b580b3b0b59a9292,,,zadarmo,"Zmluvy, Objednávky, Faktúry",
Štatistika o obyvateľoch mesta KE,05_2023,02_2023,Samosprávne,Samospráva,vizualizácia,https://opendata.kosice.sk/pages/1e797a845fde4a7b9580825befe4db98,,,zadarmo,,
MHD zastávky KE,05_2023,03_2022,Samosprávne,Doprava,vizualizácia,https://opendata.kosice.sk/apps/40e50e27e9cc47718f3c879e011564aa/explore,,,zadarmo,,Zastávky MHD
Mapa umeleckých diel,03_2024,06_2023,Samosprávne,Kultúra,,,,,,,
Pošty a BalíkoBoxy v Košiciach,03_2024,03_2022,Samosprávne,Samospráva,,,,,,,
Administratívne hranice,05_2023,01_2022,Samosprávne,Geodáta,geovizualizácia,https://www.geoportalksk.sk/mapstore/#/viewer/openlayers/516,,,zadarmo,"Administratívne hranice okresov, katastrálnych území, obcí, regiónov KSK","Administratívne hranice obcí Košického samosprávneho kraja, Administratívne hranice okresov Košického samosprávneho kraja, Administratívna hranica Košického samosprávneho kraja"
Cestovný ruch,05_2023,10_2023,Samosprávne,Ekonomika,geovizualizácia,https://www.geoportalksk.sk/mapstore/#/viewer/openlayers/1473,,,zadarmo,"OOCR, infraštruktúra pre CR","Oblastné organizácie cestovného ruchu v Košickom samosprávnom kraji, Turistické informačné centrá na území Košického samosprávneho kraja, ..."
Cyklotrasy,05_2023,,Samosprávne,Doprava,geovizualizácia,https://www.geoportalksk.sk/mapstore/#/viewer/openlayers/2274,,,zadarmo,,"Cyklotrasy na území Košického samosprávneho kraja (cykloportal.sk) , Cyklotrasy na území Košického samosprávneho kraja (OpenStreetMap) "
Časová dostupnosť miest,05_2023,,Samosprávne,Doprava,geovizualizácia,https://www.geoportalksk.sk/mapstore/#/viewer/openlayers/1458,,,zadarmo,Časová dostupnosť mesta Košice,Časová dostupnosť mesta
Doprava,05_2023,,Samosprávne,Doprava,geovizualizácia,https://www.geoportalksk.sk/mapstore/#/viewer/openlayers/1247,,,zadarmo,"Cesty, zastávky, železničné trate","Cesty III. triedy na území Košického samosprávneho kraja, Cesty II. triedy na území Košického samosprávneho kraja, ..."
Dotácie 2022,05_2023,,Samosprávne,Transparentnosť,geovizualizácia,https://www.geoportalksk.sk/mapstore/#/viewer/openlayers/578,,,zadarmo,,"Individuálne dotácie Košického samosprávneho kraja, Dotačná schéma Košického samosprávneho kraja"
Klimatická zmena a jej dôsledky,05_2023,10_2022,Samosprávne,Životné prostredie,geovizualizácia,https://www.geoportalksk.sk/mapstore/#/viewer/openlayers/3171,,,zadarmo,"Zraniteľnosť obcí, Agregovaný dopad, Adaptačná kapacita, Expozícia - zmeny teplôt","Expozícia - Zmena priemernej ročnej teploty vzduchu v obciach Košického samosprávneho kraja, Náchylnosti územia na eróziu pôdy, ..."
Chránené územia,05_2023,,Samosprávne,Životné prostredie,geovizualizácia,https://www.geoportalksk.sk/mapstore/#/viewer/openlayers/1836,,,zadarmo,,"Chránené stromy na území Košického samosprávneho kraja, Chránené vtáčie územia (CHVÚ) na území Košického samosprávneho kraja, ..."
Ekologická kvalita obcí KSK,05_2023,12_2022,Samosprávne,Životné prostredie,geovizualizácia,https://www.geoportalksk.sk/mapstore/#/viewer/openlayers/3292,,,zadarmo,,
Povodňové ohrozenie územia KSK,05_2023,12_2022,Samosprávne,Životné prostredie,geovizualizácia,https://www.geoportalksk.sk/mapstore/#/viewer/openlayers/4502,,,zadarmo,,"Záplavové územie, Hĺbka vody"
Ekonomická aktivita obyvateľov KSK,05_2023,03_2023,Samosprávne,Ekonomika,geovizualizácia,https://www.geoportalksk.sk/mviewer/?lang=sk&config=apps/ludia_praca/ludia_praca.xml#,,,zadarmo,"Nezamestnanosť, Voľné pracovné miesta, Ekonomické štatistiky",
